model,dataset,p,clean_acc_mean,clean_acc_std,clean_f1_mean,clean_f1_std,flip_acc_mean,flip_acc_std,flip_f1_mean,flip_f1_std,srs_mean,srs_std,n_seeds
lr,imdb,0.30,0.781,0.007874007874011818,0.7805607658314787,0.00820152668625914,0.7776666666666667,0.005734883511361756,0.7775407556951567,0.00580411803745224,0.004653130287648058,0.006580519960280904,3
lr,imdb,0.50,0.7776666666666667,0.007717224601860157,0.7770444362198408,0.00809163037165626,0.7763333333333334,0.0020548046676563273,0.776291728562736,0.0020300751905964524,0.006809278756887985,0.004922047950337135,3
lr,imdb,0.70,0.778,0.00509901951359279,0.7771628992002984,0.005552332551252863,0.7766666666666667,0.002867441755680878,0.7766335715015525,0.002835618322072742,0.002559190490224975,0.0018096309500375048,3
lr,imdb,0.90,0.778,0.005354126134736342,0.7769720399702797,0.0057981523603734455,0.779,0.0029439202887759515,0.7789280997996122,0.0028921916943136713,0.0008503401360544224,0.0012025625530383472,3
lr,sst2,0.30,0.6334097859327218,0.010771408871257921,0.5912923403106872,0.019440210862820023,0.5902140672782874,0.010932989026051282,0.5203635295472554,0.021857001086391308,0.06821448595192184,0.0036058475956983896,3
lr,sst2,0.50,0.6926605504587156,0.01992906788644817,0.6823411588111147,0.02482982318463544,0.6012996941896024,0.015252245675275219,0.5482584827226203,0.02650960502166362,0.1317938494254284,0.006415889398702344,3
lr,sst2,0.70,0.7285932721712539,0.009190225749366428,0.7265909307492896,0.011924880372348696,0.5779816513761468,0.007313121739185382,0.5233849359960926,0.020639923214123158,0.2064607584303372,0.020216419270848225,3
lr,sst2,0.90,0.6563455657492354,0.016548058732349664,0.6293994609185276,0.027280404942761516,0.5244648318042814,0.002703007573343042,0.42129992061789023,0.007553252308912405,0.2003693323451211,0.02262668586540523,3
bert,imdb,0.30,0.8233333333333333,0.0068475461947247185,0.8229370326259889,0.0070434325590960556,0.7286666666666667,0.015965240019770743,0.7241609367160872,0.017209448972163418,0.11505880432962266,0.013438599554455578,3
bert,imdb,0.60,0.7796666666666668,0.010656244908763863,0.7750506541239104,0.011776890933776974,0.6043333333333333,0.008055363982396388,0.577591531794376,0.011537739413728756,0.22463103868704581,0.019533042283851075,3
bert,imdb,0.90,0.551,0.07212489168102786,0.4256570822556814,0.13056549785511304,0.5023333333333334,0.004027681991198194,0.4043142683087237,0.012339517431264371,0.07876773864216438,0.10998322150991323,3
bert,sst2,0.30,0.8688837920489295,0.003784210602680324,0.8687635632523271,0.0037008900965295804,0.7656727828746178,0.005406015146686137,0.759688372775205,0.003855801505421497,0.11879036268793775,0.003999698634699486,3
bert,sst2,0.60,0.8467125382262997,0.011930035576702783,0.8456696619940954,0.012596232894538806,0.6513761467889908,0.008581782997187907,0.6216940411451085,0.016608196618832564,0.23043441176531987,0.019801924949140872,3
bert,sst2,0.90,0.6788990825688073,0.012597291325140732,0.6479406047840102,0.017972432312687376,0.5149082568807339,0.004081451931204663,0.40431915454769335,0.00735902325838511,0.24140192798519408,0.008237778769707877,3
